Issuer_Name,Issuer_Location,Issuer_Sector,Interest_Rate,Credit_Rating,Credit_Rating_Numeric,ESG_Score,Market_Demand,Inflation_Rate,Government_Support,Project_Risk,Risk_Involved,Liquidity,Currency_Risk,Issuer_Reputation,Bond_Price
CHONGQING RAIL TRANSIT GROUP CO LTD,China (mainland),Corporate - Consumer Discretionary,2.823351567,BB,5,98.92627342,73.10808529,1.966852779,2.825408637,8.055808264,High Risk,6.5749423,0.650946746,88.708575,96.85104865
CHONGQING SANFENG ENVIRONMENT GROUP CORP LTD,China (mainland),Corporate - Industrials,1.953304128,BBB,4,92.82686119,139.7385717,1.722223644,3.780249494,7.913527237,High Risk,1.946192543,4.836595861,51.52111572,100.9903226
CHUBU ELECTRIC POWER COMPANY INC.,Japan,Corporate - Utilities,4.078337876,BB,5,85.05849308,75.61915144,3.459708472,1.029461447,5.813665572,Medium Risk,3.907174423,4.057037514,83.64752001,94.17155497
CHUO-NITTOCHI GROUP CO LTD,Japan,Financials - Real estate,1.718745131,AA,2,86.35283808,72.06510596,0.66777905,7.190228204,7.807854834,High Risk,9.46563843,0.548619006,90.81988632,101.6673214
CIA ENERGETICA DE PERNAMBUCO SA,Brazil,Corporate - Utilities,2.475371393,B,6,78.10363972,63.81252931,0.926544129,5.038887968,1.917734583,Low Risk,2.466174227,0.608759988,96.61339194,97.70129854
CIBUS NORDIC REAL ESTATE AB,Sweden,Financials - Real estate,0.853053716,BBB,4,97.35453336,135.9111758,0.658477682,7.087656323,0.500645271,Low Risk,6.683607021,2.972369275,93.81483202,107.8586816
CIE DE PHALSBOURG SARL,France,Financials - Real estate,0.614078345,A,3,74.81293764,100.0058259,2.377523585,2.489435248,8.736338226,High Risk,7.401493937,1.724445871,65.96920584,97.6560367
CIFI HOLDINGS GROUP CO LTD,Cayman Islands,Financials - Real estate,4.831917866,BBB,4,69.02588549,117.4893203,0.663527832,3.244382286,0.755544938,Low Risk,4.481286995,0.174529295,79.31820707,103.0016523
CITIGROUP GLOBAL MARKETS HOLDINGS INC.,United States,Financials - Financial services,4.261910542,A,3,58.15176685,73.90663841,3.009319212,3.342153373,2.466884297,Low Risk,9.375259868,2.708207539,53.86467466,96.90290682
CITIGROUP GLOBAL MARKETS HOLDINGS INC/UNITED STATES,United States,Financials - Financial services,3.631883927,A,3,89.31028261,125.8040421,2.035815892,0.257424097,6.953189496,Medium Risk,7.366567352,1.939225498,62.89350018,100.3066414
CITIGROUP INC,United States,Financials - Banking,2.34028825,BBB,4,86.7221966,126.0005545,2.081022874,3.410478728,4.094479376,Medium Risk,4.579245799,0.505382462,54.71111894,101.8372136
CITRUSVIL SA,Argentina,Corporate - Consumer Staples,1.27982444,A,3,69.21775193,81.25980249,2.184783523,8.033045735,8.763139699,High Risk,5.693352018,4.009601961,65.75936451,98.41756205
CITY OF FUKUOKA JAPAN,Japan,SSA - Quasi-sovereigns,1.203966692,A,3,51.2596707,91.0682633,1.012441119,8.972984957,2.979797947,Low Risk,6.926134434,4.575383826,93.75936067,102.2299427
CITY OF GOTHENBURG SWEDEN,Sweden,SSA - Quasi-sovereigns,1.626093042,AA,2,91.94986639,70.96902774,1.093070909,5.182183156,0.118713467,Low Risk,5.921901804,3.78296967,67.35834198,100.6970093
CITY OF KAWASAKI JAPAN,Japan,SSA - Quasi-sovereigns,2.971519991,BB,5,50.57089917,147.6561023,1.456451969,4.555016952,3.006556406,Medium Risk,8.786975838,4.11211155,78.09490515,103.4292779
CITY OF KYOTO,Japan,SSA - Quasi-sovereigns,3.715681652,BB,5,85.18498898,114.5602577,2.280489247,0.308246187,5.780750492,Medium Risk,3.568886623,1.082452836,71.66904241,98.07339222
CITY OF LUNDS SWEDEN,Sweden,SSA - Quasi-sovereigns,3.470888195,B,6,98.51285549,143.4543881,1.130353328,8.792043376,3.759383754,Medium Risk,2.998857401,1.317864755,72.94582621,106.8242562
CITY OF MALMO SWEDEN,Sweden,SSA - Quasi-sovereigns,1.759702536,B,6,71.88306641,80.33855436,0.848995181,0.130102134,5.348727558,Medium Risk,2.138388895,1.042637701,98.47860259,94.73834391
CITY OF NORRKOPING SWEDEN,Sweden,SSA - Quasi-sovereigns,4.796893763,AA,2,61.74867025,128.1890913,3.410350659,9.447500802,8.765981188,High Risk,0.377829681,3.825317157,64.80772341,102.9874262
CITY OF OREBRO SWEDEN,Sweden,SSA - Quasi-sovereigns,3.820536125,B,6,85.2435505,126.5858644,0.565945444,4.892162487,9.124850542,High Risk,0.430139644,4.739585395,81.36622348,100.0524871
CITY OF OSAKA JAPAN,Japan,SSA - Quasi-sovereigns,2.994593236,BBB,4,90.8564071,119.1655652,2.908092216,3.419344936,2.659740647,Low Risk,8.700551931,3.584186034,71.00313348,101.9387446
CITY OF OSLO NORWAY,Norway,SSA - Quasi-sovereigns,3.252743358,AAA,1,77.3215158,146.5638975,2.864105449,9.242184348,4.621404733,Medium Risk,6.783931464,4.407333824,53.05730905,107.5853834
CITY OF OSTERSUND SWEDEN,Sweden,SSA - Quasi-sovereigns,2.388200281,AAA,1,98.35176376,89.35553361,1.391642342,0.243909931,5.491440152,Medium Risk,6.605324154,3.193495474,74.46654158,99.08816938
CITY OF OTTAWA ONTARIO,Canada,SSA - Quasi-sovereigns,1.614789453,AAA,1,52.58343608,63.07173236,0.906879848,5.814248949,9.491124569,High Risk,6.146428189,1.938299503,90.66716645,97.61296542
CITY OF REYKJAVIK ICELAND,Iceland,SSA - Quasi-sovereigns,2.101877054,AA,2,75.23977992,117.1708859,0.93688594,5.489325245,9.986173192,High Risk,8.492191447,2.128808075,54.93764843,101.8893072
CITY OF SAGAMIHARA,Japan,SSA - Quasi-sovereigns,3.910307497,AA,2,85.92269737,122.93098,2.592294852,2.193204012,2.354072488,Low Risk,4.802669257,0.376607161,53.47959237,102.5559444
CITY OF SENDAI JAPAN,Japan,SSA - Quasi-sovereigns,0.564770699,A,3,93.13202356,107.5060573,2.428419773,4.288874314,7.269798713,High Risk,8.704108286,0.157285976,57.68157602,100.9969475
CITY OF TORONTO CANADA,Canada,SSA - Quasi-sovereigns,1.022326882,AAA,1,58.9627806,70.68178931,2.848237023,6.522640059,3.780310622,Medium Risk,3.594450262,3.477378021,88.22000557,98.94685717
CITY OF VANCOUVER,Canada,SSA - Quasi-sovereigns,0.707011889,BBB,4,90.00017409,100.4455942,3.312443517,7.271311969,0.081081969,Low Risk,9.267075043,2.19214446,86.19976921,103.6652203
CITYCON OYJ,Finland,Financials - Real estate,0.68327961,B,6,77.63535379,81.21897366,2.57578209,0.007168587,0.092525224,Low Risk,6.986569801,2.76107534,78.25088845,95.35439545
CITYCON TREASURY BV,Netherlands,Financials - Real estate,4.349572628,BBB,4,69.8276841,92.74665282,0.96755461,9.368534301,4.605660076,Medium Risk,2.57177136,2.788306238,73.4113202,102.0216439
CK HUTCHISON EUROPE FINANCE 21 LTD,Cayman Islands,Corporate - Consumer Staples,3.666460367,B,6,56.58575143,114.5218576,1.23032785,1.645253724,4.88334913,Medium Risk,5.640849217,1.386879067,94.41629074,98.64474931
CLARIANT AG,Switzerland,Corporate - Materials,2.633782231,AAA,1,93.26478795,124.5214743,3.026581193,2.335804342,0.225696966,Low Risk,5.330305615,2.379462554,88.33489119,104.6289624
CLEAN RENEWABLE POWER MAURITIUS PTE LTD,Mauritius,Corporate - Utilities,0.940253723,AAA,1,57.86366041,73.22246909,1.127918228,2.634734457,6.869274168,Medium Risk,1.378988217,2.353801108,90.59711257,96.61665789
CLEARWAY ENERGY OPERATING LLC,United States,Corporate - Utilities,2.712271438,AAA,1,65.48939296,90.53253606,0.717566951,0.378201366,2.940033886,Low Risk,5.912429058,1.942136106,90.66311507,99.60001599
CLIFFTON LTD,Mauritius,Corporate - Industrials,2.630622969,AA,2,64.5022766,76.9161571,2.609840162,1.230521236,5.598931015,Medium Risk,3.147856237,4.103376917,82.13585774,95.35360141
CLP POWER HONG KONG FINANCING LIMITED,Virgin Islands,Corporate - Utilities,1.279408415,B,6,93.57070171,69.86316139,1.707579066,9.863499229,3.009190732,Medium Risk,0.523487668,2.255820018,72.90073122,99.59690374
CMB INTERNATIONAL LEASING MANAGEMENT LIMITED,China (Hong Kong),Financials - Commercial Finance,2.452332422,AA,2,83.63514971,128.338722,3.260120158,3.152167374,1.671343149,Low Risk,9.486561577,3.018222623,93.23388763,104.4787827
CMT MTN PTE LTD,Singapore,Financials - Real estate,2.293271305,AA,2,89.83406986,140.9252694,2.450765213,1.153010903,4.071737386,Medium Risk,6.414903691,4.477600602,96.30037088,103.5844068
CNNC FINANCIAL LEASING CO LTD,China (mainland),Financials - Commercial Finance,3.271325441,BB,5,62.52339494,87.02321857,0.771256933,1.069912612,2.322733648,Low Risk,8.769189319,4.331168114,51.19030216,96.05042868
CNP ASSURANCES,France,Financials - Insurance,3.357921429,BBB,4,81.24370498,125.1278924,3.343569702,7.194599677,5.348009769,Medium Risk,6.76056005,4.452111019,52.57774366,102.3111955
COASTAL EMERALD LTD,Virgin Islands,Financials - Commercial Finance,0.703868044,BBB,4,78.58729916,139.6995289,1.275671791,8.54568664,1.988285303,Low Risk,3.569836921,1.350024982,97.93716485,107.526571
"COCA-COLA FEMSA, S.A.B. DE C.V.",Mexico,Corporate - Consumer Staples,2.185756766,A,3,91.64151884,134.6124211,1.511637471,2.569522995,5.084059766,Medium Risk,5.126880723,0.174912442,63.85803069,103.3140753
COCA-COLA HBC FINANCE B.V.,Netherlands,Corporate - Consumer Staples,3.316369621,AA,2,95.30435302,68.28133885,1.706781241,0.209095123,1.573785149,Low Risk,6.757467603,1.305333999,93.66847198,98.65440989
CODIC INTERNATIONAL SA,Belgium,Financials - Real estate,2.764113164,B,6,50.60783857,145.6291882,0.653672889,2.230900184,6.709747095,Medium Risk,9.602523252,1.393536728,69.43975595,100.9667519
COLBUN SA,Chile,Corporate - Utilities,4.354204285,BB,5,83.70099595,87.66764404,1.989546267,0.565156908,7.539376844,High Risk,2.536694591,4.546801634,55.95500288,93.94561479
COLOMBIA (REPUBLIC OF),Colombia,SSA - Sovereigns,3.464121342,BB,5,52.59178996,83.92406612,0.869955473,1.033949366,1.103942342,Low Risk,8.749770586,3.246213664,54.02216001,95.99509353
COLUMBIA WATER AND SEWER AUTHORITY,United States,Corporate - Utilities,1.233204922,BBB,4,77.44293325,56.24313273,1.70291098,4.315081198,4.67802412,Medium Risk,9.240778053,0.408519798,57.82539495,96.28039695
COLUMBUS ENERGY S.A.,Poland,Corporate - Materials,0.817559363,AA,2,64.38163645,98.61736541,1.552129364,2.299183709,0.708717007,Low Risk,6.704155147,0.67689298,62.49465974,100.4246275
COMCAST CORP.,United States,Corporate - Communications,3.390886752,A,3,65.33882998,60.90136156,2.81852025,5.159458785,5.981824455,Medium Risk,9.312666274,0.778380628,74.4259177,97.11946437
COMFORIA RESIDENTIAL REIT INC,Japan,Financials - Real estate,0.619300897,AA,2,67.64792517,74.85398209,2.909511535,2.534937533,2.644042979,Low Risk,3.978785875,3.152108741,85.07489503,96.99767075
COMMERZBANK AG,Germany,Financials - Banking,3.135990116,AAA,1,81.06462245,81.69426218,0.960238647,9.405373011,5.276244568,Medium Risk,9.53016176,3.677070128,99.31992882,104.605163
COMMONWEALTH BANK OF AUSTRALIA,Australia,Financials - Banking,4.731036086,AA,2,66.70249828,130.8826323,1.599653562,9.059439679,5.174610094,Medium Risk,7.027828772,4.298219553,72.07533716,106.2327936
COMMUNE DE LYON,France,SSA - Quasi-sovereigns,3.0896338,AAA,1,86.63495253,137.548865,1.620059483,5.66806105,9.243543462,High Risk,0.420057674,4.703182754,75.90924712,103.8243359
COMMUNIDAD DE MADRID,Spain,SSA - Quasi-sovereigns,2.246764668,AAA,1,70.22636928,80.24663175,0.954231332,3.54423992,5.490832226,Medium Risk,9.068728318,1.008522787,76.09078507,100.1103284
COMPANHIA DE TRANSMISSAO DE ENERGIA ELETRICA PAULISTA SA - CTEEP,Brazil,Corporate - Utilities,3.394796983,A,3,53.41766002,135.8698121,2.895360515,3.81146882,5.829984797,Medium Risk,4.84472809,1.548862424,76.97171777,101.7952462
CONCORD NEW ENERGY GROUP LTD,Bermuda,Corporate - Utilities,2.562138007,B,6,89.18799212,135.7230937,2.621684985,4.118522831,4.016531258,Medium Risk,4.603269848,1.201614404,75.88703286,102.3375704
CONGRESSIONAL BANCSHARES INC,United States,Financials - Banking,2.955275552,BBB,4,64.28791623,126.465095,1.071145359,7.275793221,9.490796032,High Risk,5.66466606,1.793807837,50.43873775,101.8419272
CONSERVATION FUND A NONPROFIT CORP/THE,United States,Corporate - Consumer Discretionary,4.736591639,AA,2,71.63834398,64.6695114,1.600165726,4.516389955,7.771859094,High Risk,1.493845468,4.573325537,50.08624111,95.33992007
CONSORCIO TRANSMANTARO S.A.,Peru,Corporate - Utilities,2.23746187,AAA,1,84.27219416,119.0322847,0.817415075,8.567299465,2.854052903,Low Risk,4.691660486,2.875562835,54.88331591,106.4125826
CONTACT ENERGY LTD,New Zealand,Corporate - Utilities,4.825357537,AA,2,66.62280786,144.5024065,2.384619791,9.440947859,8.442095858,High Risk,8.311272167,3.690959487,55.07783017,106.1925402
CONTINUUM ENERGY LEVANTER PTE LTD,Singapore,Corporate - Energy,4.574077889,B,6,52.82928281,118.2540479,0.864115774,3.359461534,4.323963602,Medium Risk,0.154824591,2.450596181,85.24484545,98.95829664
COÃ–PERATIEVE RABOBANK U.A.,Netherlands,Financials - Banking,1.381060107,BBB,4,68.69605235,83.16168491,3.457802506,5.606944814,8.286671435,High Risk,2.729171603,0.144289567,60.24580163,96.39474823
CO-OPERATIVE BANK FINANCE PLC/THE,United Kingdom,Financials - Banking,0.812125854,B,6,97.22242913,100.0579317,2.842046224,0.950565368,8.228880683,High Risk,0.024545864,0.32097743,94.73570524,95.99746833
COREM PROPERTY GROUP AB,Sweden,Financials - Real estate,0.953501006,BBB,4,82.08671986,114.5725043,1.670715649,2.004690478,1.888701868,Low Risk,4.157113091,2.689615156,96.43031648,101.0521224
CORPORACION ANDINA DE FOMENTO,Supranationals,SSA - Supranationals,0.581998215,BB,5,83.57395743,101.0570409,2.235691797,4.134657667,7.011411314,High Risk,7.283155105,3.593945174,98.79466689,99.03898727
COVESTRO AG,Germany,Corporate - Materials,0.924993323,BBB,4,81.61410768,61.99529417,3.234025449,2.062027159,2.906429693,Low Risk,7.987718291,1.076652638,96.95406524,96.25553805
"COVIVIO, S.A.",France,Financials - Real estate,3.57353048,A,3,59.94960695,81.20640447,2.162297841,8.765604908,2.9749267,Low Risk,9.451897611,3.60954787,63.5944161,101.1446459
CP LOS OLIVOS SAU,Argentina,Corporate - Industrials,0.820348918,B,6,70.91669321,130.2396031,1.023495459,1.582862561,2.963480769,Low Risk,6.08504613,4.053328867,75.48884224,99.77772486
CPI HUNGARY INVESTMENTS KFT,Hungary,Financials - Real estate,1.935390336,AAA,1,87.54698992,136.1418046,1.636110067,4.556608216,7.255682476,High Risk,2.546268667,2.059487392,58.77274851,103.9281038
CPI PROPERTY GROUP,Luxembourg,Financials - Real estate,4.301938899,BB,5,55.06864488,63.73000327,3.029434595,6.056992405,2.298260418,Low Risk,9.241479491,3.732096164,90.31048276,97.15449422
CPPIB CAPITAL INC,Canada,SSA - Agencies,0.604723711,A,3,63.8926388,145.2386752,2.432639048,6.918639082,0.009058352,Low Risk,7.753157539,2.020149752,94.42158526,107.4060096
CRE LOGISTICS REIT INC,Japan,Financials - Real estate,4.165108172,AA,2,63.81595542,82.88226178,2.452173153,3.830693697,7.152368535,High Risk,5.74428483,3.391753147,92.56444196,98.15253972
CREDIT AGRICOLE CIB FINANCE LUXEMBOURG S.A.,Luxembourg,Financials - Banking,1.768346486,B,6,71.60094638,116.2313739,3.100464457,8.690990687,1.711847438,Low Risk,6.956402157,3.819985247,71.66834743,102.4916173
CREDIT AGRICOLE CIB FINANCIAL SOLUTIONS,France,Financials - Financial services,1.031741724,AAA,1,99.01843705,125.1825146,3.181919172,5.683191511,1.044823953,Low Risk,9.24316355,4.959633092,87.93369423,106.3707965
CREDIT AGRICOLE CIB FINANCIAL SOLUTIONS SA,France,Financials - Financial services,3.635317244,BBB,4,53.37512733,131.1946235,3.259377715,4.395077804,2.375161206,Low Risk,7.123940285,1.72698331,54.87895848,101.6666696
CREDIT AGRICOLE CORPORATE & INVESTMENT BANK SA/ TAIPEI,France,Financials - Banking,3.330242811,AAA,1,75.93504972,144.5749702,0.78454758,0.672406341,3.799005223,Medium Risk,3.683745076,2.055203903,52.01223853,103.4279084
CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK,France,Financials - Banking,4.448624061,AA,2,58.9682341,81.2919548,2.132378006,4.646894684,4.759063275,Medium Risk,7.130282023,0.828100297,87.66182072,99.87664231
CREDIT AGRICOLE HOME LOAN SFH,France,Financials - Consumer Finance,3.807819697,BB,5,98.53382727,135.8506455,2.721528564,8.207358408,0.445700407,Low Risk,0.402781627,1.020365292,71.26776372,106.346118
CREDIT AGRICOLE ITALIA S.P.A.,Italy,Financials - Banking,4.115664187,BB,5,55.66517524,63.16869034,2.770780535,6.145410182,9.705733326,High Risk,3.864155618,3.466975013,99.77746324,94.56842344
CREDIT AGRICOLE NEXT BANK SUISSE SA,Switzerland,Financials - Banking,1.769155577,B,6,70.18005012,120.5040906,2.320148606,8.321624537,7.160630534,High Risk,4.063230318,4.585227951,54.86271079,100.1650063
CREDIT AGRICOLE S.A.,France,Financials - Banking,1.298477947,BB,5,86.89424924,124.197773,1.000362006,4.940116706,3.231940653,Medium Risk,1.668382344,1.973024758,92.78138408,102.9523075
CREDIT MUTUEL ARKEA,France,Financials - Banking,3.877766382,B,6,85.2277214,117.7723241,2.892261662,1.184617051,3.186972573,Medium Risk,0.230854806,0.899222234,73.99915328,98.43370862
CREDIT SUISSE AG,Switzerland,Financials - Banking,4.130756327,B,6,71.13643184,75.23147361,2.660334001,0.136398458,4.485425494,Medium Risk,1.333812366,1.425497497,91.35750978,93.61234343
CREDIT SUISSE AG/SINGAPORE,Singapore,Financials - Banking,4.957273139,B,6,67.3262084,137.3043147,0.758407315,3.032195467,6.262448228,Medium Risk,6.546214958,2.275258524,90.85636411,101.8468134
CREDIT SUISSE INTERNATIONAL,United Kingdom,Financials - Financial services,2.356779546,BBB,4,69.88061893,66.88584634,1.891429474,6.979904715,1.463730666,Low Risk,8.022888164,1.453251647,95.79960007,100.2857849
CREDITO EMILIANO S.P.A.,Italy,Financials - Banking,2.174081386,A,3,63.21381316,55.36347915,1.021932199,7.902599039,1.889298138,Low Risk,9.882034927,1.167895416,64.89250056,99.7540585
CSSC CAPITAL 2015 LTD,Virgin Islands,Corporate - Industrials,3.993858323,B,6,60.26664694,121.7464991,1.512431137,2.957528346,8.594345828,High Risk,3.463635031,3.679922444,97.48996767,98.26883463
CTP BV,Netherlands,Financials - Real estate,2.033615931,B,6,74.15198488,97.54757152,0.554243277,4.956539209,2.562549239,Low Risk,5.993792223,0.039224606,57.58334802,99.93256025
CYFROWY POLSAT SA,Poland,Corporate - Communications,4.688407965,A,3,63.4266878,134.909802,1.700989605,4.211189044,3.80194998,Medium Risk,9.371449668,2.696152637,54.09843888,103.4711728
CYRUSONE EUROPE FINANCE DAC,Ireland,Financials - Real estate,4.362857383,AAA,1,64.37308324,88.33971411,2.149630763,4.105227844,8.71271851,High Risk,1.670417813,3.968834035,71.58077587,97.74856797
CZECH GAS NETWORKS INVESTMENTS SARL,Luxembourg,Corporate - Utilities,2.430473123,B,6,82.83780317,66.82785885,2.358747778,2.313487132,6.631478294,Medium Risk,7.176455863,1.331141432,91.41614843,94.83724073
DAELIM ENERGY CO LTD,Korea,Corporate - Energy,3.878919805,BBB,4,98.42686658,133.6442192,2.490471035,1.36371105,3.417118793,Medium Risk,7.549787331,3.016457553,73.67105653,102.491004
DAIEI REAL ESTATE & DEVELOPMENT CO LTD,Japan,Financials - Real estate,3.895442933,BB,5,80.18186003,104.8909632,3.008873939,1.966885582,6.836995457,Medium Risk,0.889755359,3.344500528,91.46433388,96.99514986
DAIO PAPER CORP,Japan,Corporate - Materials,0.96405741,BB,5,53.84897335,68.91957924,1.146388722,0.553323872,0.196832154,Low Risk,8.612493852,3.275123482,86.48434029,95.12430872
DAITO TRUST CONSTRUCTION CO. LIMITED,Japan,Financials - Real estate,4.56148808,AA,2,53.77918069,122.0383999,0.861445467,1.981307418,7.3564266,High Risk,8.131050471,2.229248171,60.47141931,100.5244162
DAIWA HOUSE INDUSTRY CO LTD,Japan,Corporate - Consumer Discretionary,2.773635676,AA,2,97.57116104,101.1113638,3.054611516,0.092008976,4.870160405,Medium Risk,0.334030066,1.732889939,97.44408124,99.01431871
DAIWA HOUSE REIT INVESTMENT CORP,Japan,Financials - Real estate,4.219058597,BB,5,64.86453952,110.4312982,0.969838445,6.272584006,8.131821473,High Risk,0.910844149,4.179620365,53.03905843,98.62990493
DAIWA OFFICE INVESTMENT CORP,Japan,Financials - Real estate,1.940223205,BB,5,54.6033493,96.08983382,3.424280244,3.163754074,9.54637652,High Risk,0.491268939,3.792229785,94.91398538,94.39050647
DAIWA SECURITIES GROUP INC,Japan,Financials - Financial services,4.529854528,BBB,4,79.95222936,132.8708984,3.027614688,9.731447114,9.257885495,High Risk,3.347435318,1.606275867,65.22217245,104.1838664
DAMU ENTREPRENEURSHIP DEVELOPMENT FUND,Kazakhstan,Financials - Financial services,2.251407554,A,3,81.18243891,132.9562716,2.002629818,1.937170508,9.092650435,High Risk,5.092889907,0.515095972,75.00740416,101.1298428
DANA INC,United States,Corporate - Consumer Discretionary,0.548769432,AA,2,82.42524101,120.9388822,3.444264275,3.458285703,5.121699559,Medium Risk,5.32347728,0.359037727,71.11759364,101.8658347
DANSKE BANK A/S,Denmark,Financials - Banking,4.574218894,A,3,63.37010139,60.54013774,0.792130187,3.578411586,3.601421141,Medium Risk,2.676667598,0.471379889,58.59172785,96.45061355
DATANG INTERNATIONAL POWER GENERATION COMPANY LIMITED,China (mainland),Corporate - Utilities,0.910790046,BBB,4,50.75553421,133.8853862,1.409197284,0.084514961,4.650353247,Medium Risk,9.115968866,2.914346806,67.90734332,99.33014389
DENMARK (KINGDOM OF),Denmark,SSA - Sovereigns,1.936911369,BB,5,98.25076847,117.1012981,2.414673245,8.39207953,6.898960033,Medium Risk,3.682627899,0.258310879,59.64672181,102.9748915
DERICHEBOURG S.A.,France,Corporate - Industrials,4.775278852,B,6,62.54465228,119.7024166,1.550020605,0.319944601,8.839977769,High Risk,0.45550156,1.684634375,60.19432377,95.5160537
DERWENT LONDON PLC,United Kingdom,Financials - Real estate,4.777732161,A,3,83.8013144,86.29828404,3.285117656,9.401798347,2.06986303,Low Risk,3.002271115,3.76599851,59.3528418,101.879045
DEUTSCHE BANK AG,Germany,Financials - Banking,3.080470497,BB,5,85.33149349,137.9279556,0.696878265,8.920743511,9.181931585,High Risk,5.311094225,1.471740833,74.45086902,105.2620174
"DEUTSCHE BANK AG, NEW YORK BRANCH",United States,Financials - Banking,3.343267455,BB,5,80.50037085,122.53716,2.148235496,5.355219161,8.15180232,High Risk,4.082218226,3.816540386,89.89656838,100.8934222
DEUTSCHE KREDITBANK AG,Germany,Financials - Banking,2.518004849,AAA,1,65.64536971,61.25904665,2.272598802,5.435955749,9.788560152,High Risk,2.738425191,3.727335191,78.44850169,95.92032743
DEUTSCHE PFANDBRIEFBANK AG,Germany,Financials - Banking,1.819448473,A,3,63.55481269,90.77780344,2.458184371,6.53777923,8.802517733,High Risk,1.313232498,1.229135663,94.66032943,98.95028852
DEUTSCHE WOHNEN SE,Germany,Financials - Real estate,1.978990454,B,6,79.88341414,138.6380362,1.26699867,3.870500119,2.799373297,Low Risk,8.191645001,3.6441109,81.82722443,103.0562505
DIAMOND II LTD,India,Corporate - Utilities,3.526333052,A,3,93.30478168,54.71967017,1.593699283,6.472222834,1.059559113,Low Risk,9.961452421,3.738883191,84.46700578,100.3739998
DIC ASSET AG,Germany,Financials - Real estate,3.885685382,BB,5,97.33668645,146.141662,3.031041589,0.447683887,1.12241072,Low Risk,3.295421335,1.987269628,83.38036149,102.7658113
DIGITAL DUTCH FINCO BV,Netherlands,Financials - Real estate,4.062105697,B,6,55.29529022,117.9162568,1.084828307,0.540476273,2.912233186,Low Risk,3.816210442,1.052102419,72.47295966,98.08893659
DIGITAL EURO FINCO LLC,United States,Financials - Real estate,4.053281643,BBB,4,57.74143063,113.1375978,2.980603542,4.572304196,6.14183724,Medium Risk,6.180375247,2.606354034,84.46694111,99.92224162
DIGITAL INTREPID HOLDING BV,Netherlands,Financials - Real estate,0.910427464,AAA,1,97.23681294,77.05592565,2.187966269,5.496223011,8.043203261,High Risk,7.184414747,4.60698794,53.48538732,98.8530058
DIOS FASTIGHETER AB,Sweden,Financials - Real estate,2.724891371,BB,5,86.82676142,74.87917887,2.786562534,8.878176403,8.99250307,High Risk,3.920295348,3.198083662,92.9925736,98.56705451
DLR KREDIT A/S,Denmark,Financials - Consumer Finance,0.75901442,AA,2,94.14969124,144.2058219,2.640822099,1.046606339,6.237533844,Medium Risk,9.04929517,0.864612488,88.89060717,104.0890258
DNB BANK ASA,Norway,Financials - Banking,2.97287997,AA,2,60.13163171,79.82724542,1.122534486,8.226479272,0.056313127,Low Risk,5.600039892,3.413784624,62.26149791,101.9953006
DNB BOLIGKREDITT AS,Norway,Financials - Banking,2.486887256,AAA,1,79.37929356,127.5505297,2.206438209,2.100473373,1.863167765,Low Risk,4.503900764,2.136015136,88.40162271,103.9215803
DOMINION ENERGY INC,United States,Corporate - Utilities,4.494668822,BBB,4,85.05697972,89.31217982,3.103169458,3.940836485,0.997262039,Low Risk,6.466727532,2.957643987,50.63213007,99.11925002
DOOSAN FUEL CELL,Korea,Corporate - Industrials,2.079117556,BB,5,84.00559427,63.92540708,1.79634871,3.166024348,3.633244756,Medium Risk,9.528038482,3.670320175,60.86232862,95.72242862
DREAM INDUSTRIAL REAL ESTATE INVESTMENT TRUST,Canada,Financials - Real estate,1.026801574,A,3,70.40758454,51.07152977,3.399772311,4.001552729,5.013509936,Medium Risk,7.945522944,2.574736758,53.25686193,94.1450727
DTE ELECTRIC CO,United States,Corporate - Utilities,1.143462569,AAA,1,50.76974458,104.4257337,1.8566453,1.504954981,0.433971786,Low Risk,0.400131305,4.069919873,89.01134583,99.47986337
DTEK RENEWABLES FINANCE BV,Netherlands,Corporate - Utilities,3.926797843,BBB,4,79.14630284,147.5778819,0.92835691,5.035700744,3.484779758,Medium Risk,3.323099107,3.610777897,87.79370756,105.4433897
DUKE ENERGY PROGRESS LLC,United States,Corporate - Utilities,3.281981285,A,3,62.65507696,86.91361938,1.66830404,8.016425898,1.791796746,Low Risk,4.70544685,3.0753667,90.68180119,102.1012919
DUKE REALTY LP,United States,Financials - Real estate,0.955052043,AA,2,72.51271231,85.7192334,3.355107219,4.415340104,6.470701663,Medium Risk,3.145175722,0.753964079,50.22408467,97.43336034
"DZ BANK AG DEUTSCHE ZENTRAL-GENOSSENSCHAFTSBANK, FRANKFURT AM MAIN",Germany,Financials - Banking,0.878480628,AA,2,97.87905075,84.40916178,1.459162548,4.906135759,4.642723693,Medium Risk,7.001875608,4.179745555,75.06163633,100.6713637
DZ HYP AG,Germany,Financials - Consumer Finance,3.654361092,A,3,69.95176588,102.0543837,3.10429448,8.487675853,4.953176469,Medium Risk,8.262691499,4.679527927,85.24180988,102.5254199
E.ON INTERNATIONAL FINANCE B.V.,Netherlands,Corporate - Utilities,0.827433529,AAA,1,91.99008033,94.06648834,3.143752045,7.060581146,4.27691788,Medium Risk,7.313450952,0.684825619,57.77005644,102.8985238
E.ON SE,Germany,Corporate - Utilities,4.198370267,AA,2,59.42703029,137.9914627,1.550559573,4.904544085,9.560197105,High Risk,9.893332868,2.441205647,82.48953638,103.8457548
